chr	start	end	strand	pvalue	qvalue	meth.diff	ID	gene	distance	Fold Change	gene expression p-value
"chrX"	48341938	48341937	0	"*"	10.7918588526026	-30.2083333333333	uc.4857	Bcorl1	(+581),	-1.2	0.0083
"chrX"	48341955	48341954	0	"*"	10.090446082984	-28.4210526315789	uc.4858	Bcorl1	(+598),	-1.2	0.0083
"chrX"	48341959	48341958	0	"*"	10.1294857578851	-42.3728813559322	uc.4859	Bcorl1	(+602)	-1.2	0.0083
"chr13"	59585343	59585342	0	"*"	7.18648107144026	32.7272727272727	uc.5502	Naa35	(+49)	-1.54	0.0028
"chr11"	61854926	61854925	0	"*"	11.8066609326688	25.3012048192771	uc.5632	Ulk2	(+147)	-1.41	0.093
"chr18"	65431221	65431220	0	"*"	9.17507463722803	-27.4193548387097	uc.5776	Malt1	(+259)	-1.23	0.0754
"chrX"	71556426	71556425	0	"*"	5.29758514662978	27.147411045059	uc.6092	Hmgb3	(+499),	1.27	0.0494
"chrX"	71556432	71556431	0	"*"	4.59175328758278	29.4994399931076	uc.6093	Hmgb3	(+505),	1.27	0.0494
"chrX"	71556465	71556464	0	"*"	10.356570596904	42.3279055742225	uc.6094	Hmgb3	(+538),	1.27	0.0494
"chrX"	71556467	71556466	0	"*"	11.4747252772332	29.5080554837598	uc.6095	Hmgb3	(+540),	1.27	0.0494
"chrX"	71556550	71556549	0	"*"	11.2165561760478	-31.4285714285714	uc.6096	Hmgb3	(+623),	1.27	0.0494
"chrX"	71556557	71556556	0	"*"	4.31461406187891	-25.094816687737	uc.6097	Hmgb3	(+630),	1.27	0.0494
"chrX"	71556858	71556857	0	"*"	5.11102183397714	-32.2322775263952	uc.6098	Hmgb3	(+931),	1.27	0.0494
"chrX"	71556913	71556912	0	"*"	9.69417444383287	-48.025078369906	uc.6099	Hmgb3	(+986),	1.27	0.0494
"chrX"	71556917	71556916	0	"*"	9.39383884692302	-43.1504702194357	uc.6100	Hmgb3	(+990),	1.27	0.0494
"chrX"	71556920	71556919	0	"*"	8.87821530834309	27.4509803921569	uc.6101	Hmgb3	(+993)	1.27	0.0494
"chr6"	72355972	72355971	0	"*"	4.98966447593823	29.5081967213115	uc.6153	Tmem150a	(+526)	-1.24	0.0702
"chrX"	73716621	73716620	0	"*"	7.23233718527902	-28.4653702461922	uc.6254	Abcd1	(+25),	-1.44	0.0000832
"chrX"	73717062	73717061	0	"*"	4.23908701203121	-29.9382716049383	uc.6255	Abcd1	(+466),	-1.44	0.0000832
"chrX"	73717063	73717062	0	"*"	9.22252805745857	-41.3333333333333	uc.6256	Abcd1	(+467),	-1.44	0.0000832
"chrX"	73717072	73717071	0	"*"	9.87922337910267	-33.3333333333333	uc.6257	Abcd1	(+476)	-1.44	0.0000832
"chr1"	75505967	75505966	0	"*"	9.65255429037262	29.4117647058824	uc.6409	Obsl1	(+394)	-1.29	0.003
"chr10"	75932134	75932133	0	"*"	6.03218143453503	-31.3939393939394	uc.6456	Mmp11	(+368)	-1.25	0.0148
"chr15"	79028992	79028991	0	"*"	4.89231017441113	-32.258064516129	uc.6714	H1f0	(+781)	-1.51	0.004
"chr8"	83900158	83900157	0	"*"	7.48208863738436	-33.3333333333333	uc.7088	Adgrl1	(+54),	-1.43	0.0055
"chr8"	83900356	83900355	0	"*"	6.37959464845403	28.3235294117647	uc.7089	Adgrl1	(+252)	-1.43	0.0055
"chr8"	91070103	91070102	0	"*"	10.7671013725657	28.0898876404494	uc.7506	Rbl2	(+47)	-1.26	0.084
"chr8"	94667337	94667336	0	"*"	3.97090139721386	26.530612244898	uc.7711	Arl2bp	(+738)	1.29	0.0263
"chr11"	97744347	97744346	0	"*"	5.31104555626839	-27.906976744186	uc.7875	Pip4k2b	(+357)	-1.26	0.0502
"chr9"	99244150	99244149	0	"*"	10.4016359873008	-65.8928571428571	uc.7977	Cep70	(+709)	-1.3	0.0304
"chr11"	117826783	117826782	0	"*"	17.4924313087252	53.7685843568197	uc.922	Afmid	(+860),	-1.35	0.003
"chr11"	117826815	117826814	0	"*"	2.55148771854118	-26.9905533063428	uc.923	Afmid	(+892)	-1.35	0.003
